Date;Workout name;Exercise;Set;Weight;Reps;Distance;Duration;Measurement unit;Notes
04-06-2020 16:32;Workout on the fly;Cycling;1;;;;00:35:00;km;
05-06-2020 15:27;Day 3;Karsten;1;;21;;;kg;
05-06-2020 15:27;Day 3;Look over both shoulders + Prayer;1;;;;00:01:00;;
05-06-2020 15:27;Day 3;Home cable chest fly's;1;;;;00:01:00;;
05-06-2020 15:27;Day 3;Calf 1 + Finger pull;1;;;;00:02:00;;
05-06-2020 15:27;Day 3;Dumbbell Deadlifts;1;20;15;;;kg;
05-06-2020 15:27;Day 3;Lunge with spinal twist;1;;;;00:00:40;;
05-06-2020 15:27;Day 3;Karsten;1;;21;;;kg;
05-06-2020 15:27;Day 3;Cat/Cow;1;;;;00:00:40;;
05-06-2020 15:27;Day 3;Home cable chest fly's;1;;;;00:01:00;;
05-06-2020 15:27;Day 3;Figure four;1;;;;00:01:00;;
05-06-2020 15:27;Day 3;Karsten hofte + 4 hoved knæ strækker;1;;;;00:01:30;;
05-06-2020 15:27;Day 3;Hanging Leg Raise;1;;7;;;kg;
05-06-2020 15:27;Day 3;Front shoulder stretch;1;;;;00:00:30;;
06-06-2020 15:28;Day 4;Pull Ups;1;;2;;;kg;
06-06-2020 15:28;Day 4;Chin retractions + Wrist rotation;1;;;;00:01:20;;
06-06-2020 15:28;Day 4;Close Triceps Push Ups;1;;10;;;kg;
06-06-2020 15:28;Day 4;Lunge with spinal twist;1;;;;00:00:40;;
06-06-2020 15:28;Day 4;Romanian deadlift dumbbell;1;20;11;;;kg;
06-06-2020 15:28;Day 4;Downward dog twist;1;;;;00:00:40;;
06-06-2020 15:28;Day 4;Karsten hofte + 4 hoved knæ strækker;1;;;;00:01:00;;
06-06-2020 15:28;Day 4;Pull Ups;1;;2;;;kg;
06-06-2020 15:28;Day 4;Front shoulder stretch;1;;;;00:00:30;;
06-06-2020 15:28;Day 4;Close Triceps Push Ups;1;;8;;;kg;
06-06-2020 15:28;Day 4;Figure four;1;;;;00:01:00;;
06-06-2020 15:28;Day 4;Chin Ups;1;;4;;;kg;
07-06-2020 15:28;Day 5;Pull Ups;1;;1;;;kg;
07-06-2020 15:28;Day 5;Calf 1 + Finger pull;1;;;;00:01:00;;
07-06-2020 15:28;Day 5;Incline Dumbbell Bench Press;1;20;15;;;kg;
07-06-2020 15:28;Day 5;Lunge with spinal twist;1;;;;00:00:50;;
07-06-2020 15:28;Day 5;Dumbbell Squats;1;20;14;;;kg;
07-06-2020 15:28;Day 5;Butterfly shoulder;1;;;;00:00:30;;
07-06-2020 15:28;Day 5;Pull Ups;1;;2;;;kg;
07-06-2020 15:28;Day 5;Front shoulder stretch;1;;;;00:00:30;;
07-06-2020 15:28;Day 5;Incline Dumbbell Bench Press;1;20;17;;;kg;
07-06-2020 15:28;Day 5;Karsten hofte + 4 hoved knæ strækker;1;;;;00:02:00;;
07-06-2020 15:28;Day 5;Hanging Leg Raise;1;;8;;;kg;
07-06-2020 15:28;Day 5;Chin Ups;1;;4;;;kg;
08-06-2020 15:04;Day 1;Cycling;1;;;2.5;00:09:50;km;
08-06-2020 15:04;Day 1;Bent Over row Dumbbell;1;20;13;;;kg;
08-06-2020 15:04;Day 1;The yes stretch + hold both sides;1;;;;00:00:40;;
08-06-2020 15:04;Day 1;Dumbbell Shoulder Press;1;20;14;;;kg;
08-06-2020 15:04;Day 1;Thoraic Spine Extension;1;;;;00:00:30;;
08-06-2020 15:04;Day 1;Dumbbell Squats;1;20;16;;;kg;
08-06-2020 15:04;Day 1;Karsten hofte + 4 hoved knæ strækker;1;;;;00:01:00;;
